gene	family	description
TRBV25-1	TR	T cell receptor beta variable 25-1
TRBV25OR9-2	TR	T cell receptor beta variable 25/OR9-2
TRBV26	TR	T cell receptor beta variable 26
TRBV26OR9-2	TR	T cell receptor beta variable 26/OR9-2
TRBV27	TR	T cell receptor beta variable 27
TRBV28	TR	T cell receptor beta variable 28
TRBV29-1	TR	T cell receptor beta variable 29-1
TRBV29OR9-2	TR	T cell receptor beta variable 29/OR9-2
TRBV30	TR	T cell receptor beta variable 30
TRBVA	TR	T cell receptor beta variable A
TRBVAOR9-2	TR	T cell receptor beta variable A/OR9-2
TRBVB	TR	T cell receptor beta variable B
TRBVOR9@	TR	T cell receptor beta variable orphans on chromosome 9
TRD@	TR	T cell receptor delta locus
TRDC	TR	T cell receptor delta constant
TRDD1	TR	T cell receptor delta diversity 1
TRDD2	TR	T cell receptor delta diversity 2
TRDD3	TR	T cell receptor delta diversity 3
TRDJ1	TR	T cell receptor delta joining 1
TRDJ2	TR	T cell receptor delta joining 2
TRDJ3	TR	T cell receptor delta joining 3
TRDJ4	TR	T cell receptor delta joining 4
TRDV1	TR	T cell receptor delta variable 1
TRDV2	TR	T cell receptor delta variable 2
TRDV3	TR	T cell receptor delta variable 3
TRG@	TR	T cell receptor gamma locus
TRGC1	TR	T cell receptor gamma constant 1
TRGC2	TR	T cell receptor gamma constant 2
TRGJ1	TR	T cell receptor gamma joining 1
TRGJ2	TR	T cell receptor gamma joining 2
TRGJP	TR	T cell receptor gamma joining P
TRGJP1	TR	T cell receptor gamma joining P1
TRGJP2	TR	T cell receptor gamma joining P2
TRGV1	TR	T cell receptor gamma variable 1
TRGV2	TR	T cell receptor gamma variable 2
TRGV3	TR	T cell receptor gamma variable 3
TRGV4	TR	T cell receptor gamma variable 4
TRGV5	TR	T cell receptor gamma variable 5
TRGV5P	TR	T cell receptor gamma variable 5P
TRGV6	TR	T cell receptor gamma variable 6
TRGV7	TR	T cell receptor gamma variable 7
TRGV8	TR	T cell receptor gamma variable 8
TRGV9	TR	T cell receptor gamma variable 9
TRGV10	TR	T cell receptor gamma variable 10
TRGV11	TR	T cell receptor gamma variable 11
TRGVA	TR	T cell receptor gamma variable A
TRGVB	TR	T cell receptor gamma variable B
MEFV	TRIM	Mediterranean fever
TRIM14	TRIM	tripartite motif-containing 14
TRIM16	TRIM	tripartite motif-containing 16
TRIM26P	TRIM	tripartite motif-containing 26 pseudogene
TRIM29	TRIM	tripartite motif-containing 29
TRIM32	TRIM	tripartite motif-containing 32
TRIM33	TRIM	tripartite motif-containing 33
TRIM35	TRIM	tripartite motif-containing 35
TRIM37	TRIM	tripartite motif-containing 37
TRIM41	TRIM	tripartite motif-containing 41
TRIM42	TRIM	tripartite motif-containing 42
TRIM43	TRIM	tripartite motif-containing 43
TRIM46	TRIM	tripartite motif-containing 46
TRIM50	TRIM	tripartite motif-containing 50
TRIM53	TRIM	tripartite motif-containing 53
TRIM58	TRIM	tripartite motif-containing 58
TRIM62	TRIM	tripartite motif-containing 62
TRIM64	TRIM	tripartite motif-containing 64
TRIM65	TRIM	tripartite motif-containing 65
TRIM66	TRIM	tripartite motif-containing 66
TRIM67	TRIM	tripartite motif-containing 67
TRIM71	TRIM	tripartite motif-containing 71
TRIM72	TRIM	tripartite motif-containing 72
TRIM73	TRIM	tripartite motif-containing 73
TRIM74	TRIM	tripartite motif-containing 74
TRIM75	TRIM	tripartite motif-containing 75
TRIMP1	TRIM	tripartite motif-containing pseudogene 1
MID1	"TRIM, RNF"	midline 1 (Opitz/BBB syndrome)
MID2	"TRIM, RNF"	midline 2
PML	"TRIM, RNF"	promyelocytic leukemia
RFP	"TRIM, RNF"	ret finger protein
RFP2	"TRIM, RNF"	ret finger protein 2
TRIM2	"TRIM, RNF"	tripartite motif-containing 2
TRIM3	"TRIM, RNF"	tripartite motif-containing 3
TRIM4	"TRIM, RNF"	tripartite motif-containing 4
TRIM5	"TRIM, RNF"	tripartite motif-containing 5
TRIM6	"TRIM, RNF"	tripartite motif-containing 6
TRIM7	"TRIM, RNF"	tripartite motif-containing 7
TRIM8	"TRIM, RNF"	tripartite motif-containing 8
TRIM9	"TRIM, RNF"	tripartite motif-containing 9
TRIM10	"TRIM, RNF"	tripartite motif-containing 10
TRIM11	"TRIM, RNF"	tripartite motif-containing 11
TRIM15	"TRIM, RNF"	tripartite motif-containing 15
TRIM17	"TRIM, RNF"	tripartite motif-containing 17
TRIM21	"TRIM, RNF"	tripartite motif-containing 21
TRIM22	"TRIM, RNF"	tripartite motif-containing 22
TRIM23	"TRIM, RNF"	tripartite motif-containing 23
TRIM24	"TRIM, RNF"	tripartite motif-containing 24
TRIM25	"TRIM, RNF"	tripartite motif-containing 25
TRIM26	"TRIM, RNF"	tripartite motif-containing 26
TRIM28	"TRIM, RNF"	tripartite motif-containing 28
TRIM31	"TRIM, RNF"	tripartite motif-containing 31
TRIM34	"TRIM, RNF"	tripartite motif-containing 34
TRIM36	"TRIM, RNF"	tripartite motif-containing 36
TRIM38	"TRIM, RNF"	tripartite motif-containing 38
TRIM39	"TRIM, RNF"	tripartite motif-containing 39
TRIM40	"TRIM, RNF"	tripartite motif-containing 40
TRIM44	"TRIM, RNF"	tripartite motif-containing 44
TRIM45	"TRIM, RNF"	tripartite motif-containing 45
TRIM47	"TRIM, RNF"	tripartite motif-containing 47
TRIM48	"TRIM, RNF"	tripartite motif-containing 48
TRIM49	"TRIM, RNF"	tripartite motif-containing 49
TRIM52	"TRIM, RNF"	tripartite motif-containing 52
TRIM54	"TRIM, RNF"	tripartite motif-containing 54
TRIM56	"TRIM, RNF"	tripartite motif-containing 56
TRIM59	"TRIM, RNF"	tripartite motif-containing 59
TRIM61	"TRIM, RNF"	tripartite motif-containing 61
TRPA1	TRP	"transient receptor potential cation channel, subfamily A, member 1"
TRPC1	TRP	"transient receptor potential cation channel, subfamily C, member 1"
TRPC2	TRP	"transient receptor potential cation channel, subfamily C, member 2"
TRPC3	TRP	"transient receptor potential cation channel, subfamily C, member 3"
TRPC4	TRP	"transient receptor potential cation channel, subfamily C, member 4"
TRPC4AP	TRP	"transient receptor potential cation channel, subfamily C, member 4 associated protein"
TRPC5	TRP	"transient receptor potential cation channel, subfamily C, member 5"
TRPC6	TRP	"transient receptor potential cation channel, subfamily C, member 6"
TRPC7	TRP	"transient receptor potential cation channel, subfamily C, member 7"
TRPM1	TRP	"transient receptor potential cation channel, subfamily M, member 1"
TRPM3	TRP	"transient receptor potential cation channel, subfamily M, member 3"
TRPM4	TRP	"transient receptor potential cation channel, subfamily M, member 4"
TRPM5	TRP	"transient receptor potential cation channel, subfamily M, member 5"
TRPM6	TRP	"transient receptor potential cation channel, subfamily M, member 6"
TRPM7	TRP	"transient receptor potential cation channel, subfamily M, member 7"
TRPM8	TRP	"transient receptor potential cation channel, subfamily M, member 8"
TRPV1	TRP	"transient receptor potential cation channel, subfamily V, member 1"
TRPV2	TRP	"transient receptor potential cation channel, subfamily V, member 2"
TRPV3	TRP	"transient receptor potential cation channel, subfamily V, member 3"
TRPV4	TRP	"transient receptor potential cation channel, subfamily V, member 4"
TRPV5	TRP	"transient receptor potential cation channel, subfamily V, member 5"
TRPV6	TRP	"transient receptor potential cation channel, subfamily V, member 6"
TRPM2	"TRP, NUDT"	"transient receptor potential cation channel, subfamily M, member 2"
TSHZ1	TSHZ	teashirt family zinc finger 1
TSHZ2	TSHZ	teashirt family zinc finger 2
TSHZ3	TSHZ	teashirt family zinc finger 3
TUBA1	TUB	"tubulin, alpha 1"
TUBA2	TUB	"tubulin, alpha 2"
TUBA4	TUB	"tubulin, alpha 4"
TUBA6	TUB	"tubulin, alpha 6"
TUBA8	TUB	"tubulin, alpha 8"
TUBAL1	TUB	"tubulin, alpha-like 1"
TUBAP	TUB	"tubulin, alpha pseudogene"
TUBAP2	TUB	"tubulin, alpha pseudogene 2"
TUBB1	TUB	"tubulin, beta 1"
TUBB2A	TUB	"tubulin, beta 2A"
TUBB2B	TUB	"tubulin, beta 2B"
TUBB2C	TUB	"tubulin, beta 2C"
TUBB3	TUB	"tubulin, beta 3"
TUBB4	TUB	"tubulin, beta 4"
TUBB4Q	TUB	"tubulin, beta polypeptide 4, member Q"
TUBB6	TUB	"tubulin, beta 6"
TUBBP1	TUB	"tubulin, beta pseudogene 1"
TUBBP2	TUB	"tubulin, beta pseudogene 2"
TUBBP3	TUB	"tubulin, beta pseudogene 3"
TUBBP4	TUB	"tubulin, beta pseudogene 4"
TUBD1	TUB	"tubulin, delta 1"
TUBE1	TUB	"tubulin, epsilon 1"
TUBG1	TUB	"tubulin, gamma 1"
TUBG1P	TUB	"tubulin, gamma 1 pseudogene"
TUBG2	TUB	"tubulin, gamma 2"
CDC34	UBE2	cell division cycle 34
HIP2	UBE2	huntingtin interacting protein 2
UBE2A	UBE2	ubiquitin-conjugating enzyme E2A (RAD6 homolog)
UBE2B	UBE2	ubiquitin-conjugating enzyme E2B (RAD6 homolog)
UBE2C	UBE2	ubiquitin-conjugating enzyme E2C
UBE2CP1	UBE2	ubiquitin-conjugating enzyme E2C pseudogene 1
UBE2D1	UBE2	"ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)"
UBE2D2	UBE2	"ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)"
UBE2D3	UBE2	"ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)"
UBE2D4	UBE2	ubiquitin-conjugating enzyme E2D 4 (putative)
UBE2D5P	UBE2	ubiquitin-conjugating enzyme E2D 5 pseudogene
UBE2E1	UBE2	"ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast)"
UBE2E2	UBE2	"ubiquitin-conjugating enzyme E2E 2 (UBC4/5 homolog, yeast)"
UBE2E3	UBE2	"ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)"
UBE2E4P	UBE2	ubiquitin-conjugating enzyme E2E 4 pseudogene
UBE2F	UBE2	ubiquitin-conjugating enzyme E2F (putative)
UBE2G1	UBE2	"ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)"
UBE2G2	UBE2	"ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)"
UBE2H	UBE2	"ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)"
UBE2HP	UBE2	"ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast) pseudogene"
UBE2I	UBE2	"ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)"
UBE2J1	UBE2	"ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)"
UBE2J2	UBE2	"ubiquitin-conjugating enzyme E2, J2 (UBC6 homolog, yeast)"
UBE2L1	UBE2	ubiquitin-conjugating enzyme E2L 1
UBE2L2	UBE2	ubiquitin-conjugating enzyme E2L 2
UBE2L3	UBE2	ubiquitin-conjugating enzyme E2L 3
UBE2L4	UBE2	ubiquitin-conjugating enzyme E2L 4
UBE2L5P	UBE2	ubiquitin-conjugating enzyme E2L 5 pseudogene
UBE2L6	UBE2	ubiquitin-conjugating enzyme E2L 6
UBE2L7P	UBE2	ubiquitin-conjugating enzyme E2L 7 pseudogene
UBE2M	UBE2	"ubiquitin-conjugating enzyme E2M (UBC12 homolog, yeast)"
UBE2MP1	UBE2	ubiquitin-conjugating enzyme E2M pseudogene 1
UBE2N	UBE2	"ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)"
UBE2NL	UBE2	ubiquitin-conjugating enzyme E2N-like
UBE2NP1	UBE2	ubiquitin-conjugating enzyme E2N pseudogene 1
UBE2Q1	UBE2	ubiquitin-conjugating enzyme E2Q (putative) 1
UBE2Q2	UBE2	ubiquitin-conjugating enzyme E2Q (putative) 2
UBE2R2	UBE2	ubiquitin-conjugating enzyme E2R 2
UBE2S	UBE2	ubiquitin-conjugating enzyme E2S
UBE2SP1	UBE2	ubiquitin-conjugating enzyme E2S pseudogene 1
UBE2SP2	UBE2	ubiquitin-conjugating enzyme E2S pseudogene 2
UBE2T	UBE2	ubiquitin-conjugating enzyme E2T (putative)
UBE2U	UBE2	ubiquitin-conjugating enzyme E2U (putative)
UBE2V1	UBE2	ubiquitin-conjugating enzyme E2 variant 1
UBE2V1P1	UBE2	ubiquitin-conjugating enzyme E2 variant 1 pseudogene 1
UBE2V2	UBE2	ubiquitin-conjugating enzyme E2 variant 2
UBE2W	UBE2	ubiquitin-conjugating enzyme E2W (putative)
UBE2WP	UBE2	ubiquitin-conjugating enzyme E2W pseudogene
UGT1A13P	UGT	"UDP glucuronosyltransferase 1 family, polypeptide A13 pseudogene"
UGT2A2	UGT	"UDP glucuronosyltransferase 2 family, polypeptide A2"
UGT2B4	UGT	"UDP glucuronosyltransferase 2 family, polypeptide B4"
UGT2B7	UGT	"UDP glucuronosyltransferase 2 family, polypeptide B7"
UGT2B10	UGT	"UDP glucuronosyltransferase 2 family, polypeptide B10"
UGT2B11	UGT	"UDP glucuronosyltransferase 2 family, polypeptide B11"
UGT2B15	UGT	"UDP glucuronosyltransferase 2 family, polypeptide B15"
UGT2B17	UGT	"UDP glucuronosyltransferase 2 family, polypeptide B17"
UGT2B24P	UGT	"UDP glucuronosyltransferase 2 family, polypeptide B24 pseudogene"
UGT2B25P	UGT	"UDP glucuronosyltransferase 2 family, polypeptide B25 pseudogene"
UGT2B26P	UGT	"UDP glucuronosyltransferase 2 family, polypeptide B26 pseudogene"
UGT2B27P	UGT	"UDP glucuronosyltransferase 2 family, polypeptide B27 pseudogene"
UGT2B28	UGT	"UDP glucuronosyltransferase 2 family, polypeptide B28"
UGT2B29P	UGT	"UDP glucuronosyltransferase 2 family, polypeptide B29 pseudogene"
UGT2B@	UGT	"UDP glucuronosyltransferase 2 family, polypeptide B cluster"
UGT3A1	UGT	"UDP glycosyltransferase 3 family, polypeptide A1"
UGT3A2	UGT	"UDP glycosyltransferase 3 family, polypeptide A2"
USP1	USP	ubiquitin specific peptidase 1
USP2	USP	ubiquitin specific peptidase 2
USP3	USP	ubiquitin specific peptidase 3
USP4	USP	ubiquitin specific peptidase 4 (proto-oncogene)
USP5	USP	ubiquitin specific peptidase 5 (isopeptidase T)
USP6	USP	ubiquitin specific peptidase 6 (Tre-2 oncogene)
USP7	USP	ubiquitin specific peptidase 7 (herpes virus-associated)
USP8	USP	ubiquitin specific peptidase 8
USP8P	USP	ubiquitin specific peptidase 8 pseudogene
USP9X	USP	"ubiquitin specific peptidase 9, X-linked"
USP9Y	USP	"ubiquitin specific peptidase 9, Y-linked (fat facets-like, Drosophila)"
USP9YP2	USP	USP9Y pseudogene 2
USP10	USP	ubiquitin specific peptidase 10
USP10P1	USP	ubiquitin specific peptidase10 pseudogene 1
USP11	USP	ubiquitin specific peptidase 11
USP12	USP	ubiquitin specific peptidase 12
USP12P1	USP	ubiquitin specific peptidase 12 pseudogene 1
USP12P2	USP	ubiquitin specific peptidase 12 pseudogene 2
USP12P3	USP	ubiquitin specific peptidase 12 pseudogene 3
USP13	USP	ubiquitin specific peptidase 13 (isopeptidase T-3)
USP14	USP	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)
USP15	USP	ubiquitin specific peptidase 15
USP16	USP	ubiquitin specific peptidase 16
USP17	USP	ubiquitin specific peptidase 17
USP18	USP	ubiquitin specific peptidase 18
USP20	USP	ubiquitin specific peptidase 20
USP21	USP	ubiquitin specific peptidase 21
USP22	USP	ubiquitin specific peptidase 22
USP24	USP	ubiquitin specific peptidase 24
USP25	USP	ubiquitin specific peptidase 25
USP26	USP	ubiquitin specific peptidase 26
USP27X	USP	"ubiquitin specific peptidase 27, X-linked"
USP28	USP	ubiquitin specific peptidase 28
USP29	USP	ubiquitin specific peptidase 29
USP30	USP	ubiquitin specific peptidase 30
USP31	USP	ubiquitin specific peptidase 31
USP32	USP	ubiquitin specific peptidase 32
USP33	USP	ubiquitin specific peptidase 33
USP34	USP	ubiquitin specific peptidase 34
USP35	USP	ubiquitin specific peptidase 35
USP36	USP	ubiquitin specific peptidase 36
USP37	USP	ubiquitin specific peptidase 37
USP38	USP	ubiquitin specific peptidase 38
USP39	USP	ubiquitin specific peptidase 39
USP40	USP	ubiquitin specific peptidase 40
USP41	USP	ubiquitin specific peptidase 41
USP42	USP	ubiquitin specific peptidase 42
USP43	USP	ubiquitin specific peptidase 43
USP44	USP	ubiquitin specific peptidase 44
USP45	USP	ubiquitin specific peptidase 45
USP46	USP	ubiquitin specific peptidase 46
USP47	USP	ubiquitin specific peptidase 47
USP48	USP	ubiquitin specific peptidase 48
USP49	USP	ubiquitin specific peptidase 49
USP50	USP	ubiquitin specific peptidase 50
USP51	USP	ubiquitin specific peptidase 51
USP52	USP	ubiquitin specific peptidase 52
USP53	USP	ubiquitin specific peptidase 53
USP54	USP	ubiquitin specific peptidase 54
VN1R1	VN1R	vomeronasal 1 receptor 1
VN1R2	VN1R	vomeronasal 1 receptor 2
VN1R3	VN1R	vomeronasal 1 receptor 3
VN1R4	VN1R	vomeronasal 1 receptor 4
VN1R5	VN1R	vomeronasal 1 receptor 5
VN1R6P	VN1R	vomeronasal 1 receptor 6 pseudogene
VN1R7P	VN1R	vomeronasal 1 receptor 7 pseudogene
VN1R8P	VN1R	vomeronasal 1 receptor 8 pseudogene
VN1R9P	VN1R	vomeronasal 1 receptor 9 pseudogene
VN1R10P	VN1R	vomeronasal 1 receptor 10 pseudogene
VN1R11P	VN1R	vomeronasal 1 receptor 11 pseudogene
VN1R12P	VN1R	vomeronasal 1 receptor 12 pseudogene
VN1R13P	VN1R	vomeronasal 1 receptor 13 pseudogene
VN1R14P	VN1R	vomeronasal 1 receptor 14 pseudogene
WNT1	WNT	"wingless-type MMTV integration site family, member 1"
WNT2	WNT	wingless-type MMTV integration site family member 2
WNT2B	WNT	"wingless-type MMTV integration site family, member 2B"
WNT3	WNT	"wingless-type MMTV integration site family, member 3"
WNT3A	WNT	"wingless-type MMTV integration site family, member 3A"
WNT4	WNT	"wingless-type MMTV integration site family, member 4"
WNT5A	WNT	"wingless-type MMTV integration site family, member 5A"
WNT5B	WNT	"wingless-type MMTV integration site family, member 5B"
WNT6	WNT	"wingless-type MMTV integration site family, member 6"
WNT7A	WNT	"wingless-type MMTV integration site family, member 7A"
WNT7B	WNT	"wingless-type MMTV integration site family, member 7B"
WNT8A	WNT	"wingless-type MMTV integration site family, member 8A"
WNT8B	WNT	"wingless-type MMTV integration site family, member 8B"
WNT9A	WNT	"wingless-type MMTV integration site family, member 9A"
WNT9B	WNT	"wingless-type MMTV integration site family, member 9B"
WNT10A	WNT	"wingless-type MMTV integration site family, member 10A"
WNT10B	WNT	"wingless-type MMTV integration site family, member 10B"
WNT11	WNT	"wingless-type MMTV integration site family, member 11"
WNT16	WNT	"wingless-type MMTV integration site family, member 16"
WWC1	WWC	"WW, C2 and coiled-coil domain containing 1"
WWC2	WWC	"WW, C2 and coiled-coil domain containing 2"
WWC3	WWC	WWC family member 3
CSE1L	XPO	CSE1 chromosome segregation 1-like (yeast)
XPO1	XPO	"exportin 1 (CRM1 homolog, yeast)"
XPO4	XPO	exportin 4
XPO5	XPO	exportin 5
XPO6	XPO	exportin 6
XPO7	XPO	exportin 7
XPOT	XPO	"exportin, tRNA (nuclear export receptor for tRNAs)"
XPOTP1	XPO	"exportin, tRNA (nuclear export receptor for tRNAs) pseudogene 1"
YIPF1	YIPF	"Yip1 domain family, member 1"
YIPF2	YIPF	"Yip1 domain family, member 2"
YIPF3	YIPF	"Yip1 domain family, member 3"
YIPF4	YIPF	"Yip1 domain family, member 4"
YIPF5	YIPF	"Yip1 domain family, member 5"
YIPF6	YIPF	"Yip1 domain family, member 6"
YIPF7	YIPF	"Yip1 domain family, member 7"
ZBED1	ZBED	"zinc finger, BED-type containing 1"
ZBED2	ZBED	"zinc finger, BED-type containing 2"
ZBED3	ZBED	"zinc finger, BED-type containing 3"
ZBED4	ZBED	"zinc finger, BED-type containing 4"
BCL6	ZBTB	B-cell CLL/lymphoma 6 (zinc finger protein 51)
BCL6B	ZBTB	"B-cell CLL/lymphoma 6, member B (zinc finger protein)"
HIC1	ZBTB	hypermethylated in cancer 1
HIC2	ZBTB	hypermethylated in cancer 2
MYNN	ZBTB	myoneurin
ZBTB1	ZBTB	zinc finger and BTB domain containing 1
ZBTB2	ZBTB	zinc finger and BTB domain containing 2
ZBTB3	ZBTB	zinc finger and BTB domain containing 3
ZBTB4	ZBTB	zinc finger and BTB domain containing 4
ZBTB5	ZBTB	zinc finger and BTB domain containing 5
ZBTB6	ZBTB	zinc finger and BTB domain containing 6
ZBTB7A	ZBTB	zinc finger and BTB domain containing 7A
ZBTB7B	ZBTB	zinc finger and BTB domain containing 7B
ZBTB7C	ZBTB	zinc finger and BTB domain containing 7C
ZBTB8	ZBTB	zinc finger and BTB domain containing 8
ZBTB9	ZBTB	zinc finger and BTB domain containing 9
ZBTB10	ZBTB	zinc finger and BTB domain containing 10
ZBTB11	ZBTB	zinc finger and BTB domain containing 11
ZBTB12	ZBTB	zinc finger and BTB domain containing 12
ZBTB16	ZBTB	zinc finger and BTB domain containing 16
ZBTB17	ZBTB	zinc finger and BTB domain containing 17
ZBTB20	ZBTB	zinc finger and BTB domain containing 20
ZBTB22	ZBTB	zinc finger and BTB domain containing 22
ZBTB24	ZBTB	zinc finger and BTB domain containing 24
ZBTB25	ZBTB	zinc finger and BTB domain containing 25
ZBTB26	ZBTB	zinc finger and BTB domain containing 26
ZBTB32	ZBTB	zinc finger and BTB domain containing 32
ZBTB33	ZBTB	zinc finger and BTB domain containing 33
ZBTB34	ZBTB	zinc finger and BTB domain containing 34
ZBTB37	ZBTB	zinc finger and BTB domain containing 37
ZBTB38	ZBTB	zinc finger and BTB domain containing 38
ZBTB39	ZBTB	zinc finger and BTB domain containing 39
ZBTB40	ZBTB	zinc finger and BTB domain containing 40
ZBTB41	ZBTB	zinc finger and BTB domain containing 41
ZBTB42	ZBTB	zinc finger and BTB domain containing 42
ZBTB43	ZBTB	zinc finger and BTB domain containing 43
ZFP161	ZBTB	zinc finger protein 161 homolog (mouse)
ZNF238	ZBTB	zinc finger protein 238
ZNF278	ZBTB	zinc finger protein 278
ZNF295	ZBTB	zinc finger protein 295
ZNF336	ZBTB	zinc finger protein 336
LIN28	ZCCHC	lin-28 homolog (C. elegans)
RBM4B	ZCCHC	RNA binding motif protein 4B
ZCCHC2	ZCCHC	"zinc finger, CCHC domain containing 2"
ZCCHC3	ZCCHC	"zinc finger, CCHC domain containing 3"
ZCCHC4	ZCCHC	"zinc finger, CCHC domain containing 4"
ZCCHC5	ZCCHC	"zinc finger, CCHC domain containing 5"
ZCCHC6	ZCCHC	"zinc finger, CCHC domain containing 6"
ZCCHC7	ZCCHC	"zinc finger, CCHC domain containing 7"
ZCCHC8	ZCCHC	"zinc finger, CCHC domain containing 8"
ZCCHC9	ZCCHC	"zinc finger, CCHC domain containing 9"
ZCCHC10	ZCCHC	"zinc finger, CCHC domain containing 10"
ZCCHC11	ZCCHC	"zinc finger, CCHC domain containing 11"
ZCCHC12	ZCCHC	"zinc finger, CCHC domain containing 12"
ZCCHC13	ZCCHC	"zinc finger, CCHC domain containing 13"
ZCCHC14	ZCCHC	"zinc finger, CCHC domain containing 14"
ZCCHC17	ZCCHC	"zinc finger, CCHC domain containing 17"
MORC2	ZCW	MORC family CW-type zinc finger 2
MORC3	ZCW	MORC family CW-type zinc finger 3
MORC4	ZCW	MORC family CW-type zinc finger 4
ZCWPW1	ZCW	"zinc finger, CW type with PWWP domain 1"
ZCWPW2	ZCW	"zinc finger, CW type with PWWP domain 2"
ZDHHC1	ZDHHC	"zinc finger, DHHC-type containing 1"
ZDHHC2	ZDHHC	"zinc finger, DHHC-type containing 2"
ZDHHC3	ZDHHC	"zinc finger, DHHC-type containing 3"
ZDHHC4	ZDHHC	"zinc finger, DHHC-type containing 4"
ZDHHC5	ZDHHC	"zinc finger, DHHC-type containing 5"
ZDHHC6	ZDHHC	"zinc finger, DHHC-type containing 6"
ZDHHC7	ZDHHC	"zinc finger, DHHC-type containing 7"
ZDHHC8	ZDHHC	"zinc finger, DHHC-type containing 8"
ZDHHC9	ZDHHC	"zinc finger, DHHC-type containing 9"
ZDHHC10	ZDHHC	"zinc finger, DHHC-type containing 10"
ZDHHC11	ZDHHC	"zinc finger, DHHC-type containing 11"
ZDHHC12	ZDHHC	"zinc finger, DHHC-type containing 12"
ZDHHC13	ZDHHC	"zinc finger, DHHC-type containing 13"
ZDHHC14	ZDHHC	"zinc finger, DHHC-type containing 14"
ZDHHC15	ZDHHC	"zinc finger, DHHC-type containing 15"
ZDHHC16	ZDHHC	"zinc finger, DHHC-type containing 16"
ZDHHC17	ZDHHC	"zinc finger, DHHC-type containing 17"
ZDHHC18	ZDHHC	"zinc finger, DHHC-type containing 18"
ZDHHC19	ZDHHC	"zinc finger, DHHC-type containing 19"
ZDHHC20	ZDHHC	"zinc finger, DHHC-type containing 20"
ZDHHC21	ZDHHC	"zinc finger, DHHC-type containing 21"
ZDHHC22	ZDHHC	"zinc finger, DHHC-type containing 22"
ZDHHC23	ZDHHC	"zinc finger, DHHC-type containing 23"
ZDHHC24	ZDHHC	"zinc finger, DHHC-type containing 24"
ANKFY1	ZFYVE	ankyrin repeat and FYVE domain containing 1
EEA1	ZFYVE	"early endosome antigen 1, 162kD"
FGD1	ZFYVE	"FYVE, RhoGEF and PH domain containing 1 (faciogenital dysplasia)"
FGD2	ZFYVE	"FYVE, RhoGEF and PH domain containing 2"
FGD3	ZFYVE	"FYVE, RhoGEF and PH domain containing 3"
FGD4	ZFYVE	"FYVE, RhoGEF and PH domain containing 4"
FGD5	ZFYVE	"FYVE, RhoGEF and PH domain containing 5"
FGD6	ZFYVE	"FYVE, RhoGEF and PH domain containing 6"
FYCO1	ZFYVE	FYVE and coiled-coil domain containing 1
HGS	ZFYVE	hepatocyte growth factor-regulated tyrosine kinase substrate
MTMR3	ZFYVE	myotubularin related protein 3
MTMR4	ZFYVE	myotubularin related protein 4
PLEKHF1	ZFYVE	"pleckstrin homology domain containing, family F (with FYVE domain) member 1"
PLEKHF2	ZFYVE	"pleckstrin homology domain containing, family F (with FYVE domain) member 2"
RUFY1	ZFYVE	RUN and FYVE domain containing 1
RUFY2	ZFYVE	RUN and FYVE domain containing 2
WDFY1	ZFYVE	WD repeat and FYVE domain containing 1
WDFY2	ZFYVE	WD repeat and FYVE domain containing 2
WDFY3	ZFYVE	WD repeat and FYVE domain containing 3
WDFY4	ZFYVE	WDFY family member 4
ZFYVE1	ZFYVE	"zinc finger, FYVE domain containing 1"
ZFYVE9	ZFYVE	"zinc finger, FYVE domain containing 9"
ZFYVE16	ZFYVE	"zinc finger, FYVE domain containing 16"
ZFYVE19	ZFYVE	"zinc finger, FYVE domain containing 19"
ZFYVE20	ZFYVE	"zinc finger, FYVE domain containing 20"
ZFYVE21	ZFYVE	"zinc finger, FYVE domain containing 21"
ZFYVE26	ZFYVE	"zinc finger, FYVE domain containing 26"
ZFYVE27	ZFYVE	"zinc finger, FYVE domain containing 27"
ZFYVE28	ZFYVE	"zinc finger, FYVE domain containing 28"
ZMAT1	ZMAT	"zinc finger, matrin type 1"
ZMAT2	ZMAT	"zinc finger, matrin type 2"
ZMAT3	ZMAT	"zinc finger, matrin type 3"
ZMAT4	ZMAT	"zinc finger, matrin type 4"
ZMAT5	ZMAT	"zinc finger, matrin type 5"
ZMYM1	ZMYM	"zinc finger, MYM-type 1"
ANKMY1	ZMYND	ankyrin repeat and MYND domain containing 1
ANKMY2	ZMYND	ankyrin repeat and MYND domain containing 2
CBFA2T2	ZMYND	"core-binding factor, runt domain, alpha subunit 2; translocated to, 2"
